subject_id,rt,time_elapsed,prolific_id,cb,study_id,session_id,prob0,prob1,prob2,prob3,scenario,A,B,E,S,answer,comments
xpy8oy64la,14731.399999856949,198094,601a86dd7ac4f02ca520ef38,0,66631187c34a33218c729603,6669cdad4209b704efc5a017,50%,10%,50%,80%,job,1,1,1,1,,
xpy8oy64la,13066.699999809265,211162,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,50%,10%,50%,80%,job,1,1,1,1,,
xpy8oy64la,62429,282268,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,,,,,,,,,,The candidate demonstrated skill B,
xpy8oy64la,9495.199999809265,297193,601a86dd7ac4f02ca520ef38,0,66631187c34a33218c729603,6669cdad4209b704efc5a017,10%,50%,80%,50%,job,1,0,0,1,,
xpy8oy64la,1891,299085,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,10%,50%,80%,50%,job,1,0,0,1,,
xpy8oy64la,13587.899999856949,317046,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,,,,,,,,,,The candidate demonstrated skill A,
xpy8oy64la,7159.299999952316,330373,601a86dd7ac4f02ca520ef38,1,66631187c34a33218c729603,6669cdad4209b704efc5a017,80%,50%,10%,70%,job,0,0,0,1,,
xpy8oy64la,1958.2000000476837,332333,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,80%,50%,10%,70%,job,0,0,0,1,,
xpy8oy64la,23620.10000014305,359539,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,,,,,,,,,,The candidate did not have skill A,
xpy8oy64la,9459.299999952316,377259,601a86dd7ac4f02ca520ef38,0,66631187c34a33218c729603,6669cdad4209b704efc5a017,50%,10%,50%,80%,cook,1,0,1,1,,
xpy8oy64la,4290.899999856949,381552,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,50%,10%,50%,80%,cook,1,0,1,1,,
xpy8oy64la,22516.400000095367,408953,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,,,,,,,,,,The main dish impressed the panel,
xpy8oy64la,1523.4000000953674,415325,601a86dd7ac4f02ca520ef38,0,66631187c34a33218c729603,6669cdad4209b704efc5a017,10%,70%,80%,50%,group,0,1,0,0,,
xpy8oy64la,3222.9000000953674,418548,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,10%,70%,80%,50%,group,0,1,0,0,,
xpy8oy64la,20775.800000190735,443541,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,,,,,,,,,,The lecturer did not attend,
xpy8oy64la,4075.4000000953674,453309,601a86dd7ac4f02ca520ef38,0,66631187c34a33218c729603,6669cdad4209b704efc5a017,50%,10%,50%,80%,cook,1,1,0,1,,
xpy8oy64la,1991.2999999523163,455301,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,50%,10%,50%,80%,cook,1,1,0,1,,
xpy8oy64la,20427.299999952316,479918,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,,,,,,,,,,The main dish did not impress the panel,
xpy8oy64la,3575.5,489171,601a86dd7ac4f02ca520ef38,1,66631187c34a33218c729603,6669cdad4209b704efc5a017,80%,50%,10%,70%,job,1,1,1,0,,
xpy8oy64la,798.5999999046326,489970,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,80%,50%,10%,70%,job,1,1,1,0,,
xpy8oy64la,14752.100000143051,506551,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,,,,,,,,,,The candidate demonstrated skill B,
xpy8oy64la,2314.899999856949,512199,601a86dd7ac4f02ca520ef38,0,66631187c34a33218c729603,6669cdad4209b704efc5a017,10%,70%,80%,50%,group,0,1,1,1,,
xpy8oy64la,1382.5,513583,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,10%,70%,80%,50%,group,0,1,1,1,,
xpy8oy64la,12364.300000190735,531480,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,,,,,,,,,,The postdoc talked about the paper,
xpy8oy64la,795.2999999523163,534868,601a86dd7ac4f02ca520ef38,1,66631187c34a33218c729603,6669cdad4209b704efc5a017,50%,80%,50%,10%,job,1,0,0,0,,
xpy8oy64la,966.6999998092651,535836,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,50%,80%,50%,10%,job,1,0,0,0,,
xpy8oy64la,11466.900000095367,548008,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,,,,,,,,,,The candidate demonstrated skill A,
xpy8oy64la,1270.8999998569489,608222,601a86dd7ac4f02ca520ef38,0,66631187c34a33218c729603,6669cdad4209b704efc5a017,50%,10%,50%,80%,cook,1,1,0,0,,
xpy8oy64la,982.7000000476837,609206,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,50%,10%,50%,80%,cook,1,1,0,0,,
xpy8oy64la,10815.899999856949,620987,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,,,,,,,,,,The dessert did not impress the panel,
xpy8oy64la,971.2000000476837,627847,601a86dd7ac4f02ca520ef38,1,66631187c34a33218c729603,6669cdad4209b704efc5a017,80%,50%,10%,70%,group,0,1,0,1,,
xpy8oy64la,690.7999999523163,628539,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,80%,50%,10%,70%,group,0,1,0,1,,
xpy8oy64la,8358.899999856949,637727,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,,,,,,,,,,The postdoc did not talk about the paper,
xpy8oy64la,903.6999998092651,641188,601a86dd7ac4f02ca520ef38,0,66631187c34a33218c729603,6669cdad4209b704efc5a017,10%,50%,80%,50%,group,0,0,0,0,,
xpy8oy64la,622.7999999523163,641812,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,10%,50%,80%,50%,group,0,0,0,0,,
xpy8oy64la,10907.599999904633,653308,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,,,,,,,,,,The postdoc did not attend,
xpy8oy64la,1543.3999998569489,655357,601a86dd7ac4f02ca520ef38,,66631187c34a33218c729603,6669cdad4209b704efc5a017,,,,,,,,,,,
