"","situation","td_path","td_destination","mp_path","mp_destination"
"1","AbsentNoLazySee_pizza",0.24529756330767,0.416016590057399,0.260115223398443,0.467609758268227
"2","HotdogNoLazySee_pizza",0.267437937472375,0.563996940331687,0.260115223398443,0.529195416252873
"3","AbsentYesLazySee_pizza",0.476524947009568,0.509067229141377,0.47973959241313,0.467609758268227
"4","HotdogYesLazySee_pizza",0.476151450459999,0.50289845648095,0.47973959241313,0.529195416252873
"5","AbsentNoSportySee_pizza",0.227782050358482,0.447624691641192,0.260115223398443,0.467609758268227
"6","HotdogNoSportySee_pizza",0.249084031453061,0.543530512943219,0.260115223398443,0.529195416252873
"7","AbsentYesSportySee_pizza",0.514423835511386,0.509528346386408,0.47973959241313,0.480166384027183
"8","HotdogYesSportySee_pizza",0.494418650817025,0.501810135837106,0.47973959241313,0.537468834322078
"9","AbsentNoLazySee_hotdog",0.302169226072643,0.522259155556233,0.260115223398443,0.518628288652912
"10","HotdogNoLazySee_hotdog",0.285118881474762,0.625865262272453,0.260115223398443,0.636231980189719
"11","AbsentYesLazySee_hotdog",0.446539329862285,0.618252865058358,0.446101241495354,0.635310790253896
"12","HotdogYesLazySee_hotdog",0.442925207356674,0.639692832351765,0.446101241495354,0.644023126202961
"13","AbsentNoSportySee_hotdog",0.261137670121416,0.589216086449575,0.260115223398443,0.604101035731834
"14","HotdogNoSportySee_hotdog",0.277205001215579,0.658983031518983,0.260115223398443,0.641882398123144
"15","AbsentYesSportySee_hotdog",0.463557250606843,0.653548032129143,0.446101241495354,0.641794181826891
"16","HotdogYesSportySee_hotdog",0.464923383801875,0.646922292077949,0.446101241495354,0.64447628995011
