"A","B","epsA","epsB","E","P"
0,0,0,0,0,0.0168
1,0,0,0,0,0.1512
0,1,0,0,0,0.0042
1,1,0,0,0,0.0378
0,0,1,0,0,0.0072
1,0,1,0,0,0.0648
0,1,1,0,0,0.0018
1,1,1,0,0,0.0162
0,0,0,1,0,0.0392
1,0,0,1,0,0.3528
0,1,0,1,0,0.0098
1,1,0,1,0,0.0882
0,0,1,1,0,0.0168
1,0,1,1,0,0.1512
0,1,1,1,0,0.0042
1,1,1,1,0,0.0378
0,0,0,0,1,0.0168
1,0,0,0,1,0.1512
0,1,0,0,1,0.0042
1,1,0,0,1,0.0378
0,0,1,0,1,0.0072
1,0,1,0,1,0.0648
0,1,1,0,1,0.0018
1,1,1,0,1,0.0162
0,0,0,1,1,0.0392
1,0,0,1,1,0.3528
0,1,0,1,1,0.0098
1,1,0,1,1,0.0882
0,0,1,1,1,0.0168
1,0,1,1,1,0.1512
0,1,1,1,1,0.0042
1,1,1,1,1,0.0378
